client_id,msg_type,msg_type_name,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,0,INIT,0,0,1765626251682,1765626251696,14,0,0,6.2,3.75
1,1,ACK,0,0,1765626251697,1765626251714,17,0,0,0.0,3.75
1,3,FULL,1,1,1765626251714,1765626251714,0,18,0.3,0.0,17.03125
1,5,HEARTBEAT,1,1,1765626251714,1765626251714,0,0,0.3,0.0,3.75
1,1,ACK,1,1,1765626251715,1765626251715,0,1,0.3,0.0,3.75
1,1,ACK,1,1,1765626251716,1765626251716,0,0,0.3,0.0,3.75
1,5,HEARTBEAT,2,1,1765626251765,1765626251765,0,48,0.3,50.0,3.75
1,1,ACK,2,1,1765626251765,1765626251765,0,49,0.3,50.0,3.75
1,5,HEARTBEAT,3,1,1765626251816,1765626251816,0,51,0.3,0.0,3.75
1,1,ACK,3,1,1765626251816,1765626251816,0,51,0.3,0.0,3.75
1,5,HEARTBEAT,4,1,1765626251866,1765626251866,0,50,0.3,0.0,3.75
1,1,ACK,4,1,1765626251866,1765626251866,0,50,0.3,0.0,3.75
1,5,HEARTBEAT,5,1,1765626251916,1765626251916,0,50,0.3,0.0,3.75
1,1,ACK,5,1,1765626251917,1765626251917,0,49,0.3,0.0,3.75
1,5,HEARTBEAT,6,1,1765626251967,1765626251967,0,49,0.3,0.0,3.75
1,1,ACK,6,1,1765626251967,1765626251967,0,50,0.3,0.0,3.75
1,5,HEARTBEAT,7,1,1765626252017,1765626252017,0,50,0.3,0.0,3.75
1,1,ACK,7,1,1765626252018,1765626252018,0,49,0.3,0.0,3.75
1,5,HEARTBEAT,8,1,1765626252068,1765626252068,0,49,0.3,0.0,3.75
1,1,ACK,8,1,1765626252068,1765626252069,1,49,0.3,0.0,3.75
1,5,HEARTBEAT,9,1,1765626252118,1765626252118,0,48,1.6,0.0,3.75
1,1,ACK,9,1,1765626252119,1765626252119,0,48,1.6,0.0,3.75
1,5,HEARTBEAT,10,1,1765626252169,1765626252169,0,49,1.6,0.0,3.75
1,1,ACK,10,1,1765626252170,1765626252170,0,49,1.6,0.0,3.75
1,5,HEARTBEAT,11,1,1765626252220,1765626252220,0,49,1.6,0.0,3.75
1,1,ACK,11,1,1765626252220,1765626252220,0,50,1.6,0.0,3.75
1,5,HEARTBEAT,12,1,1765626252270,1765626252270,0,50,1.6,25.0,3.75
1,1,ACK,12,1,1765626252270,1765626252270,0,50,1.6,25.0,3.75
1,5,HEARTBEAT,13,1,1765626252320,1765626252320,0,50,1.6,0.0,3.75
1,1,ACK,13,1,1765626252321,1765626252321,0,49,1.6,0.0,3.75
1,5,HEARTBEAT,14,1,1765626252371,1765626252371,0,49,1.6,0.0,3.75
1,1,ACK,14,1,1765626252371,1765626252372,1,49,1.6,0.0,3.75
1,5,HEARTBEAT,15,1,1765626252421,1765626252421,0,48,1.6,0.0,3.75
1,1,ACK,15,1,1765626252422,1765626252422,0,48,1.6,0.0,3.75
1,5,HEARTBEAT,16,1,1765626252472,1765626252472,0,49,1.6,0.0,3.75
1,1,ACK,16,1,1765626252472,1765626252472,0,50,1.6,0.0,3.75
1,5,HEARTBEAT,17,1,1765626252522,1765626252522,0,50,1.6,0.0,3.75
1,1,ACK,17,1,1765626252523,1765626252523,0,49,1.6,0.0,3.75
1,5,HEARTBEAT,18,1,1765626252573,1765626252573,0,49,1.6,0.0,3.75
1,1,ACK,18,1,1765626252573,1765626252573,0,50,1.6,0.0,3.75
1,5,HEARTBEAT,19,1,1765626252623,1765626252623,0,50,1.6,0.0,3.75
