client_id,msg_type,msg_type_name,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,1,ACK,0,0,1765630828980,1765630829080,100,0,0,20.0,0
1,3,FULL,1,1,1765630828980,1765630829081,101,0,0,571.3,1038.8901072705603
1,5,HEARTBEAT,1,1,1765630829008,1765630829108,100,26,0,0.0,43.80562154613806
1,5,HEARTBEAT,2,1,1765630829058,1765630829158,100,23,0,19.8,18.12899045103865
1,5,HEARTBEAT,3,1,1765630829109,1765630829210,101,2,0,0.0,12.319700693247258
1,5,HEARTBEAT,4,1,1765630829159,1765630829260,101,2,0,0.0,9.939232424914731
1,5,HEARTBEAT,5,1,1765630829210,1765630829311,101,1,0,0.0,8.556540765931974
1,5,HEARTBEAT,6,1,1765630829261,1765630829361,100,1,0,0.0,7.701286271847955
1,5,HEARTBEAT,7,1,1765630829312,1765630829414,102,3,0,0.0,7.040603955462853
1,5,HEARTBEAT,8,1,1765630829362,1765630829463,101,4,0,0.0,6.629403661186776
1,5,HEARTBEAT,9,1,1765630829414,1765630829514,100,2,0,0.0,6.282401852852892
1,5,HEARTBEAT,10,1,1765630829464,1765630829565,101,0,0,0.0,6.008374634629773
1,5,HEARTBEAT,11,1,1765630829515,1765630829615,100,1,0,0.0,5.797312154042442
1,5,HEARTBEAT,12,1,1765630829566,1765630829666,100,1,0,0.0,5.612734970474339
1,5,HEARTBEAT,13,1,1765630829617,1765630829718,101,1,0,75.0,5.449157425766994
1,5,HEARTBEAT,14,1,1765630829667,1765630829768,101,2,0,0.0,5.325672518895886
1,5,HEARTBEAT,15,1,1765630829718,1765630829833,115,15,0,33.3,5.114956696791418
1,5,HEARTBEAT,16,1,1765630829768,1765630829876,108,22,0,100.0,5.074199096285762
1,5,HEARTBEAT,17,1,1765630829832,1765630829932,100,13,0,0.0,4.960754119086722
1,5,HEARTBEAT,18,1,1765630829883,1765630829983,100,5,0,0.0,4.888219192983577
1,5,HEARTBEAT,19,1,1765630829933,1765630830034,101,0,0,20.0,4.823440794968518
1,5,HEARTBEAT,20,1,1765630829984,1765630830084,100,1,0,0.0,4.769981681667562
1,5,HEARTBEAT,21,1,1765630830034,1765630830134,100,0,0,0.0,4.721595676073794
1,5,HEARTBEAT,22,1,1765630830086,1765630830186,100,2,0,0.0,4.669133486573652
1,5,HEARTBEAT,23,1,1765630830136,1765630830236,100,2,0,0.0,4.6293787753041284
1,4,DELTA,24,2,1765630830187,1765630830288,101,2,0.2,0.0,5.135036473300281
1,4,DELTA,24,3,1765630830238,1765630830338,100,2,0.0,0.0,5.6078590942558755
1,4,DELTA,24,4,1765630830290,1765630830394,104,6,0.0,0.0,6.016932435011892
1,4,DELTA,24,5,1765630830341,1765630830447,106,3,0.0,100.0,6.406592421464019
1,4,DELTA,24,6,1765630830395,1765630830496,101,4,0.0,100.0,6.786281167207009
1,5,HEARTBEAT,29,6,1765630830446,1765630830549,103,4,0,0.0,6.6690771448784725
1,5,HEARTBEAT,30,6,1765630830498,1765630830599,101,3,0,0.0,6.572991868969297
1,5,HEARTBEAT,31,6,1765630830549,1765630830649,100,0,0,19.7,6.483030569091015
1,5,HEARTBEAT,32,6,1765630830600,1765630830701,101,2,0,0.0,6.39073082719772
1,5,HEARTBEAT,33,6,1765630830651,1765630830751,100,2,0,0.0,6.3117145277814
1,5,HEARTBEAT,34,6,1765630830701,1765630830804,103,3,0,20.0,6.226435697512647
